epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,352.44,1.94166,2.24423,1.66402,0.44954,0.29353,0.26454,0.10124,2.14645,2.40201,1.68412,0.000662474,0.000662474,0.000662474
2,688.866,1.93404,1.95183,1.65105,0.3494,0.33623,0.23682,0.09756,2.20155,2.14104,1.76296,0.00119756,0.00119756,0.00119756
3,1004.27,1.90906,1.87618,1.63823,0.40451,0.26581,0.24583,0.09702,2.29074,2.36159,1.96849,0.00160064,0.00160064,0.00160064
4,1316.89,1.89215,1.81882,1.62104,0.4629,0.31884,0.29798,0.13116,2.01948,1.92816,1.61985,0.001406,0.001406,0.001406
5,1672.85,1.82823,1.69021,1.55805,0.6082,0.37971,0.38972,0.17424,1.92043,1.72766,1.49372,0.001208,0.001208,0.001208
6,2043.29,1.75658,1.5744,1.50331,0.6255,0.3942,0.44363,0.22595,1.90651,1.5475,1.49104,0.00101,0.00101,0.00101
7,2425.71,1.70575,1.50434,1.47908,0.64251,0.43768,0.45904,0.22382,1.83709,1.50309,1.42499,0.000812,0.000812,0.000812
8,2818.43,1.65431,1.41669,1.44547,0.57304,0.47826,0.48607,0.2572,1.73793,1.42999,1.41535,0.000614,0.000614,0.000614
9,3199.91,1.6179,1.36882,1.42582,0.60818,0.48406,0.51521,0.27727,1.65685,1.37853,1.3434,0.000416,0.000416,0.000416
10,3627.37,1.57346,1.27685,1.38584,0.67731,0.48116,0.53204,0.28513,1.63877,1.33379,1.33522,0.000218,0.000218,0.000218
