epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,542.656,1.97922,2.19019,1.7203,0.30188,0.26197,0.15083,0.05125,2.33346,3.02232,1.93691,0.000662474,0.000662474,0.000662474
2,1036.05,2.01185,1.97449,1.78326,0.43017,0.28986,0.28173,0.11149,2.20298,2.89328,1.8393,0.00119756,0.00119756,0.00119756
3,1528.93,1.98322,1.92207,1.75793,0.52816,0.29565,0.30606,0.12042,2.17956,2.55508,1.75289,0.00160064,0.00160064,0.00160064
4,2094.44,1.94929,1.85094,1.70417,0.42705,0.30678,0.29543,0.12343,2.14769,1.95779,1.74202,0.001406,0.001406,0.001406
5,2674.38,1.83802,1.68725,1.65342,0.46451,0.35942,0.34922,0.15977,2.04238,1.76925,1.60712,0.001208,0.001208,0.001208
6,3237.49,1.81599,1.59191,1.59823,0.53619,0.4,0.42766,0.20661,1.91907,1.56355,1.52073,0.00101,0.00101,0.00101
7,3801.25,1.73039,1.50894,1.54163,0.59495,0.41739,0.44837,0.20758,1.87714,1.71017,1.56491,0.000812,0.000812,0.000812
8,4203.84,1.67361,1.42022,1.50424,0.64205,0.45217,0.50721,0.2661,1.72856,1.38093,1.49066,0.000614,0.000614,0.000614
9,4635.24,1.64145,1.35279,1.48439,0.62517,0.45507,0.51342,0.26737,1.70136,1.39081,1.43775,0.000416,0.000416,0.000416
10,5046.3,1.57766,1.26364,1.43794,0.66722,0.49565,0.54678,0.28622,1.678,1.27338,1.43368,0.000218,0.000218,0.000218
